iteration,timestamp,sigma_pred,local_scale,corr_rolling50,param_mu,param_omega,param_alpha[1],param_gamma[1],param_beta[1],param_nu
971,2025-02-04 08:55:00,0.004559603729127563,2.0778553947558143,-0.3824692689576246,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
972,2025-02-04 09:00:00,0.0045334244014132805,2.1218008688558516,-0.4386069917092094,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
973,2025-02-04 09:05:00,0.004497076786751714,2.0586761396207183,-0.4787377797365182,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
974,2025-02-04 09:10:00,0.004464232898295699,2.0580292271221134,-0.4104401002124375,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
975,2025-02-04 09:15:00,0.004419822451822465,1.9847110752191763,-0.3233096327845661,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
976,2025-02-04 09:20:00,0.004372770907974444,1.9497470039467077,-0.23730647512934153,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
977,2025-02-04 09:25:00,0.004327517861290748,1.93539702763953,-0.12023962483020033,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
978,2025-02-04 09:30:00,0.004283855500527296,1.920909007101864,-0.08179925245271666,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
979,2025-02-04 09:35:00,0.004243906584757345,1.9176862202846339,-0.07667579202480923,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
980,2025-02-04 09:40:00,0.004205716279607195,1.9066458476786492,0.07889282661934227,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
981,2025-02-04 09:45:00,0.004163334091295838,1.8670964915857446,0.09674166575211561,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
982,2025-02-04 09:50:00,0.004139370012068903,1.9371016809625987,0.07383152675173578,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
