iteration,timestamp,sigma_pred,local_scale,mean_abs_return,param_mu,param_omega,param_alpha[1],param_gamma[1],param_beta[1],param_nu
1450,2025-02-06 00:50:00,0.0037112106100196753,1.959825564413804,1.4646210456492796,-0.016597922952415214,0.00978598040818479,0.18434283563027556,-0.05756727279638054,0.9352453765650789,6.27800197622879
1500,2025-02-06 05:00:00,0.003554111865869258,1.8224163675753575,1.351858898214266,0.022618234096573642,0.015375604212176555,0.20150427375160904,-0.06229721983665586,0.9529117890103795,5.643292761665326
1550,2025-02-06 09:10:00,0.0034198958536644087,1.5652789895013015,1.1722516743965041,0.02134598933567064,0.008258237667079945,0.10932852697901861,-0.03083942696785892,0.986312864778091,5.749168737272074
1600,2025-02-06 13:20:00,0.003304909041445422,1.4916022939615086,1.1154427156067936,-0.006559115594757393,0.007549029585662057,0.10202202461077721,-0.027167071458213555,0.9896342562498472,5.602145809460706
1650,2025-02-06 17:30:00,0.003307178536636046,1.5210605192475468,1.1595221824915516,-0.030736477137297203,0.002663322613380689,0.030129323990926198,-0.052098783114100704,0.9895855681516899,6.577986402669962
1700,2025-02-06 21:40:00,0.0032275426868558017,1.513648847872072,1.1527279198596672,-0.02193304746720494,0.0015597231192012674,0.04135640394440098,-0.03882078069784696,0.9816383261546748,6.744463443575587
1750,2025-02-07 01:50:00,0.0031409588828539767,1.5350169875192161,1.1452807470449906,-0.015404868044142955,0.002505287701448096,0.04040822284808703,-0.043588402660975065,0.9755035592348684,5.567703245192499
1800,2025-02-07 06:00:00,0.003032356775582364,1.4540626634944576,1.0673315984345297,-0.004013081388801331,0.007090393503225912,0.09400008328350304,-0.027625436649171824,0.9696576994762469,5.307209276456456
1850,2025-02-07 10:10:00,0.00289874821628593,1.363667883533161,1.0010142995683617,-0.007748994130472822,0.004186788843459542,0.0693489606362208,-0.05534789640838372,0.983793998753669,5.658390313446429
1900,2025-02-07 14:20:00,0.002785390171644166,1.3626260589645147,0.9966887759593978,-0.0014863901093697671,0.002329177152428234,0.059199929310700124,-0.07644288586931551,0.9797814315164933,5.90470999734048
1950,2025-02-07 18:30:00,0.002733737994730991,1.4305925928156595,1.0405569893969018,0.010323690318013803,0.0035057938847534056,0.10561719781872458,-0.06175990220635642,0.9660113641039366,4.880991195821698
2000,2025-02-07 22:40:00,0.0027766209898389235,1.5116343122811275,1.1007189691772852,-0.020378829720855286,-0.00011874945321079166,0.07988128639331528,-0.07736364114744622,0.9642079621231671,4.687016487407581
2050,2025-02-08 02:50:00,0.002703794194480174,1.4152698596584519,1.0257131792924934,-0.012488940534387356,-0.00039404779958273186,0.06043978479201736,-0.0746580964376444,0.9655704346276061,4.9907589263440135
2100,2025-02-08 07:00:00,0.002628296082876697,1.3583446173151228,0.980403262111686,-0.03350206627089284,0.0033853389373965604,0.08424824219378645,-0.0647717441355691,0.9704188257896988,4.938045672930896
2150,2025-02-08 11:10:00,0.002541477791126895,1.2572599168353307,0.9166284472288888,-0.036108900696383124,0.005437027827346741,0.0949341153272273,-0.06570121815477765,0.972629221221697,5.39405714003578
2200,2025-02-08 15:20:00,0.0024982104616475868,1.2733092960763999,0.9344738387072504,-0.020746041659172498,0.0029505224791999255,0.09554078666685777,-0.05616509569967241,0.9727235647877431,5.813533312441549
2250,2025-02-08 19:30:00,0.002410278188342948,1.252775817518402,0.91976362074629,-0.002418085446064105,0.0011281074695518596,0.10466286822394712,-0.05630967877375537,0.9644005357918123,5.682780223469404
2300,2025-02-08 23:40:00,0.0023258869310961287,1.20732222605517,0.8884407307081571,-0.0021631734554757483,-0.0017981180503288128,0.10089547410612004,-0.055015942560231186,0.9707611906143067,6.131049240187704
2350,2025-02-09 03:50:00,0.002259815543011425,1.1091230160252188,0.8175743013989538,0.0002326978108414356,0.00355055627137535,0.10811780241838487,-0.04804178077567395,0.9706751489068501,5.88452370825069
2400,2025-02-09 08:00:00,0.0021562519411856993,0.9307243116165671,0.7102216773681512,-0.0005441756910991778,0.008735282294862484,0.12293843554283797,-0.045096298293661186,0.9767306458026354,6.378494287700556
2450,2025-02-09 12:10:00,0.002083164958317922,0.8760983952022493,0.6667666156988231,-0.013971573213261422,0.007960754879888367,0.1125176021634543,-0.03927137161859631,0.9833854147621861,7.538190645048391
2500,2025-02-09 16:20:00,0.0020038784743429652,0.912870164091075,0.6868633928082857,-0.03599098483700775,-0.0018328099828326038,0.0,-0.05307101914934145,0.9863626445982719,7.33835709108753
2550,2025-02-09 20:30:00,0.1,0.9031148520475089,0.6707219302375574,0.9415933850626471,-2.0,0.0,-690.2760601838794,0.8,2.0500000000000917
2600,2025-02-10 00:40:00,0.09000000000000001,1.1762365982763927,0.7634049685306487,-20038621.176969502,2.0,0.0,-455557.05074731377,0.9387076400594776,2.05
2650,2025-02-10 04:50:00,0.08100000000000002,1.2950593680330553,0.813834975530512,-20038621.176313154,2.0,0.0,-455557.05074731377,0.8,2.05
2700,2025-02-10 09:00:00,0.07290000000000002,1.3067262723741817,0.8219027052894528,-20038621.176313154,2.0,0.0,-455557.05074731377,0.8,2.05
2750,2025-02-10 13:10:00,0.06561000000000002,1.2851792162278068,0.8191252905968655,-20038621.176313154,2.0,0.0,-455557.05074731377,0.8,2.05
2800,2025-02-10 17:20:00,0.05904900000000002,1.3409847865588633,0.8805103281655611,-20038621.176313154,2.0,0.0,-455557.05074731377,0.8,2.05
2850,2025-02-10 21:30:00,0.05314410000000002,1.356040559116326,0.8995158537567088,-20038621.17443716,2.0,0.0,-455557.05074731377,0.8,2.05
2900,2025-02-11 01:40:00,0.04782969000000002,1.3680643872041984,0.8981361622716435,-20038621.17443716,2.0,0.0,-455557.05074731377,0.8,2.05
2950,2025-02-11 05:50:00,0.043046721000000024,1.3604151217599927,0.8933081369317337,-20038621.17443716,2.0,0.0,-455557.05074731377,0.8,2.05
