open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote
2024-01-16 07:10:00,2531.87,2531.88,2525.0,2526.61,783.524,1980305.593017,3092,240.6286,608010.453267
2024-01-16 07:15:00,2526.61,2526.62,2522.59,2525.39,957.2951,2416279.558772,3730,322.591,814156.300049
2024-01-16 07:20:00,2525.4,2527.3,2523.68,2525.34,451.1513,1139414.323642,2420,190.3472,480705.966977
2024-01-16 07:25:00,2525.34,2526.01,2522.6,2522.64,622.0944,1570190.894024,2716,124.2269,313580.337281
2024-01-16 07:30:00,2522.64,2528.76,2522.3,2528.16,1046.683,2642887.636678,3021,613.4074,1549046.88928
2024-01-16 07:35:00,2528.15,2529.35,2527.14,2529.09,1067.0396,2697711.263586,2851,602.6019,1523544.647769
2024-01-16 07:40:00,2529.1,2533.8,2529.09,2533.28,876.8655,2220093.307639,3404,450.346,1140052.994051
2024-01-16 07:45:00,2533.29,2534.31,2531.82,2532.5,843.0849,2135509.423778,3089,414.6058,1050145.954179
2024-01-16 07:50:00,2532.5,2532.51,2529.57,2530.04,981.4808,2483804.008634,3050,483.9347,1224593.417323
2024-01-16 07:55:00,2530.05,2530.05,2525.76,2528.26,912.7447,2307400.515777,2929,535.6353,1354148.895242
2024-01-16 08:00:00,2528.25,2529.45,2524.29,2526.48,1104.0464,2789983.545777,3982,501.7483,1268031.421149
2024-01-16 08:05:00,2526.49,2527.7,2523.6,2527.53,708.1041,1788152.363629,2552,329.1262,831107.919032
2024-01-16 08:10:00,2527.53,2527.69,2523.6,2525.0,666.2433,1682394.430448,2564,225.54,569450.502838
2024-01-16 08:15:00,2525.0,2525.78,2524.37,2525.21,491.7878,1241775.616957,2010,245.5777,620091.831394
2024-01-16 08:20:00,2525.22,2534.31,2525.21,2530.47,952.2743,2409789.801741,4202,506.5791,1281493.42165
2024-01-16 08:25:00,2530.46,2534.23,2525.5,2525.99,906.7811,2293400.304488,3923,305.4241,772795.311601
